v.x,v.y,v.z,n.x,n.y,n.z
-0.52821953,0.07226494,0.846027131,-0.52821953,0.07226494,0.846027131
-0.563922893,-0.017230477,0.825647674,-0.563922893,-0.017230477,0.825647674
-0.52821953,0.07226494,0.846027131,-0.52821953,0.07226494,0.846027131
-0.577263776,0.048584039,0.815111111,-0.577263776,0.048584039,0.815111111
-0.577263776,0.048584039,0.815111111,-0.577263776,0.048584039,0.815111111
-0.52821953,0.07226494,0.846027131,-0.52821953,0.07226494,0.846027131
-0.538716661,0.137885911,0.831126846,-0.538716661,0.137885911,0.831126846
-0.398112584,-0.229850523,0.888073819,-0.398112584,-0.229850523,0.888073819
-0.417998357,-0.165592836,0.89322807,-0.417998357,-0.165592836,0.89322807
-0.443296431,-0.255937443,0.859060126,-0.443296431,-0.255937443,0.859060126
-0.486900414,-0.281112226,0.826984826,-0.486900414,-0.281112226,0.826984826
-0.443296431,-0.255937443,0.859060126,-0.443296431,-0.255937443,0.859060126
-0.463749229,-0.191801491,0.864955976,-0.463749229,-0.191801491,0.864955976
-0.435981795,-0.100581527,0.894317187,-0.435981795,-0.100581527,0.894317187
-0.463749229,-0.191801491,0.864955976,-0.463749229,-0.191801491,0.864955976
-0.417998357,-0.165592836,0.89322807,-0.417998357,-0.165592836,0.89322807
-0.417998357,-0.165592836,0.89322807,-0.417998357,-0.165592836,0.89322807
-0.463749229,-0.191801491,0.864955976,-0.463749229,-0.191801491,0.864955976
-0.443296431,-0.255937443,0.859060126,-0.443296431,-0.255937443,0.859060126
-0.568753367,-0.328370075,0.754117167,-0.568753367,-0.328370075,0.754117167
-0.528769131,-0.305285154,0.791962235,-0.528769131,-0.305285154,0.791962235
-0.550978522,-0.241341223,0.798859864,-0.550978522,-0.241341223,0.798859864
-0.527753465,-0.151925053,0.83570034,-0.527753465,-0.151925053,0.83570034
-0.550978522,-0.241341223,0.798859864,-0.550978522,-0.241341223,0.798859864
-0.50850002,-0.217019291,0.833264878,-0.50850002,-0.217019291,0.833264878
-0.486900414,-0.281112226,0.826984826,-0.486900414,-0.281112226,0.826984826
-0.50850002,-0.217019291,0.833264878,-0.50850002,-0.217019291,0.833264878
-0.528769131,-0.305285154,0.791962235,-0.528769131,-0.305285154,0.791962235
-0.528769131,-0.305285154,0.791962235,-0.528769131,-0.305285154,0.791962235
-0.50850002,-0.217019291,0.833264878,-0.50850002,-0.217019291,0.833264878
-0.550978522,-0.241341223,0.798859864,-0.550978522,-0.241341223,0.798859864
-0.465923318,0.030516397,0.884298711,-0.465923318,0.030516397,0.884298711
-0.499307938,-0.06100606,0.864274172,-0.499307938,-0.06100606,0.864274172
-0.451981053,-0.035112464,0.891336212,-0.451981053,-0.035112464,0.891336212
-0.435981795,-0.100581527,0.894317187,-0.435981795,-0.100581527,0.894317187
